depth,ice_age,gas_age,CO2,Temperature (calculated)
m,ka,ka,ppmv,(deg C)
130,4.26,1.9,274,-55.32333333
140,4.66,2.28,273.07,-54.82333333
150,5.06,2.66,272.14,-55.45333333
160,5.45,3.04,271.22,-55.81333333
170,5.85,3.41,270.29,-54.62833333
180,6.27,3.82,268.39,-55.56
190,6.7,4.25,266.06,-55.71
200,7.14,4.67,263.73,-52.80833333
210,7.57,5.09,261.4,-55.29833333
220,8.01,5.52,259.06,-55.32333333
230,8.44,5.94,256.73,-54.78333333
240,8.87,6.36,254.4,-54.55333333
250,9.31,6.79,252.07,-55.39666667
260,9.76,7.23,255.09,-54.77333333
270,10.24,7.68,257.22,-56.04166667
280,10.74,8.13,257.77,-57.85166667
290,11.24,8.58,258.31,-58.88
300,11.74,9.02,258.86,-58.59333333
310,12.32,9.52,257.58,-57.37166667
320,12.94,10.04,255.66,-59.15666667
330,13.55,10.56,253.75,-60.64666667
340,14.17,11.08,251.83,-61.63666667
350,14.78,11.6,249.91,-62.83166667
360,15.39,12.12,247.99,-63.76166667
370,16.01,12.64,246.07,-64.65666667
380,16.69,13.22,240.5,-63.66
390,17.48,13.87,230.26,-64.93166667
400,18.26,14.52,220.02,-64.41
410,19.05,15.18,209.79,-64.36666667
420,19.83,15.83,199.55,-65.27166667
430,20.63,16.54,193.11,-64.62
440,21.45,17.34,193.43,-64.765
450,22.28,18.15,193.74,-63.415
460,23.11,18.95,194.05,-63.9
470,23.93,19.75,194.37,-64.135
480,24.76,20.58,195.13,-64.99
490,25.6,21.42,196.21,-63.755
500,26.43,22.27,197.29,-62.94833333
510,27.27,23.11,198.37,-64.55666667
520,28.1,23.96,199.45,-63.58666667
530,28.93,24.81,199.81,-64.24
540,29.74,25.66,199.41,-63.01833333
550,30.56,26.51,199.02,-63.69166667
560,31.38,27.36,198.63,-62.755
570,32.19,28.21,198.24,-61.185
580,33,29.05,201.8,-61.60166667
590,33.79,29.89,211.31,-63.265
600,34.59,30.72,220.81,-62.85166667
610,35.37,31.53,217.71,-62.40166667
620,36.16,32.35,210.85,-62.76166667
630,36.94,33.15,207.51,-62.13333333
640,37.71,33.95,208.66,-62.34333333
650,38.48,34.74,209.82,-62.31166667
660,39.24,35.52,209.48,-60.76
670,40.01,36.3,208.87,-61.745
680,40.77,37.08,208.25,-61.44833333
690,41.53,37.86,207.63,-62.96
700,42.3,38.64,207.02,-62.705
710,43.06,39.4,201.24,-63.04666667
720,43.82,40.16,195.3,-62.74166667
730,44.58,40.92,189.37,-62.49333333
740,45.34,41.68,183.43,-61.955
750,46.1,42.44,179.86,-61.78333333
760,46.85,43.2,187.85,-61.50166667
770,47.61,43.96,195.84,-61.87666667
780,48.36,44.71,201.49,-61.4
790,49.1,45.47,204.6,-62.04333333
800,49.85,46.22,207.7,-61.31
810,50.6,46.97,206.42,-62.76333333
820,51.34,47.72,205.15,-62.305
830,52.09,48.47,203.87,-60.96166667
840,52.84,49.21,202.6,-60.18666667
850,53.58,49.96,201.32,-59.52666667
860,54.35,50.71,201,-60.72
870,55.12,51.45,201,-61.49666667
880,55.9,52.2,204.78,-61.37833333
890,56.69,52.95,211.41,-62.32
900,57.49,53.7,218.04,-62.98166667
910,58.3,54.47,217.91,-63.58833333
920,59.11,55.25,215.88,-62.32833333
930,59.94,56.04,213.48,-63.85666667
940,60.78,56.84,210.29,-64.10166667
950,61.63,57.65,207.11,-64.42166667
960,62.5,58.47,204.63,-63.455
970,63.38,59.3,202.32,-63.75166667
980,64.26,60.14,199.56,-62.105
990,65.13,61,196.2,-62.83
1000,66.01,61.86,192.84,-62.73333333
1010,66.88,62.75,192.36,-61.82666667
1020,67.74,63.65,192.83,-62.77166667
1030,68.59,64.54,195.81,-63.10833333
1040,69.43,65.43,200.14,-62.96
1050,70.27,66.33,204.46,-61.705
1060,71.1,67.2,212.63,-60.35833333
1070,71.93,68.07,222,-61.56833333
1080,72.75,68.94,229.73,-63.23666667
1090,73.57,69.79,235.93,-61.72333333
1100,74.39,70.65,242.13,-62.46
1110,75.19,71.49,239.98,-61.53666667
1120,75.99,72.34,236.47,-60.06333333
1130,76.79,73.17,233.93,-59.78333333
1140,77.58,74,232.1,-59.12333333
1150,78.37,74.83,229.95,-59.97666667
1160,79.15,75.64,225.77,-59.195
1170,79.93,76.45,221.59,-59.98
1180,80.7,77.26,219.8,-59.24166667
1190,81.47,78.06,220.39,-58.14
1200,82.24,78.85,220.98,-59.055
1210,83.01,79.65,221.57,-59.76833333
1220,83.78,80.45,222.16,-60.23333333
1230,84.55,81.22,224.42,-60.29833333
1240,85.33,81.96,228.88,-59.85833333
1250,86.1,82.71,233.33,-61.16
1260,86.88,83.52,228.31,-62.12166667
1270,87.65,84.35,221.61,-61.825
1280,88.43,85.16,216.76,-60.54666667
1290,89.21,85.95,213.26,-61.39833333
1300,89.99,86.74,210.35,-60.695
1310,90.78,87.53,215.3,-59.62833333
1320,91.56,88.32,220.26,-60.73333333
1330,92.35,89.12,222.77,-60.47333333
1340,93.15,89.91,224.47,-59.92833333
1350,93.94,90.71,226.31,-60.245
1360,94.73,91.51,229.41,-60.83333333
1370,95.53,92.31,232.51,-60.57
1380,96.33,93.12,232.59,-59.615
1390,97.13,93.93,229.88,-59.805
1400,97.93,94.74,227.18,-59.74666667
1410,98.74,95.55,229.6,-59.36166667
1420,99.55,96.36,233.73,-58.78166667
1430,100.38,97.18,234.1,-58.37333333
1440,101.23,98,229.87,-58.98166667
1450,102.08,98.83,225.63,-60.18333333
1460,102.97,99.67,226.38,-59.90833333
1470,103.87,100.52,228.01,-60.405
1480,104.78,101.39,230.58,-59.98833333
1490,105.71,102.28,234.62,-60.29
1500,106.65,103.17,238.44,-60.35166667
1510,107.64,104.1,236.94,-62.86166667
1520,108.62,105.03,235.44,-62.42166667
1530,109.6,105.98,236.2,-62.105
1540,110.57,106.96,240.79,-61.56666667
1550,111.53,107.95,242.88,-61.96333333
1560,112.45,108.97,239.16,-62.29833333
1570,113.37,109.98,235.43,-62.10666667
1580,114.27,110.97,234.87,-61.15666667
1590,115.15,111.93,237.72,-60.21666667
1600,116.02,112.88,242.53,-60.17833333
1610,116.85,113.79,255.16,-58.89333333
1620,117.68,114.7,267.79,-58.54833333
1630,118.5,115.59,275.36,-57.435
1640,119.29,116.46,273.52,-57.50333333
1650,120.09,117.32,271.68,-56.98333333
1660,120.85,118.15,274.51,-56.80166667
1670,121.61,118.97,277.86,-56.85
1680,122.36,119.78,278.75,-56.695
